"from_id","from_name","message","created_time","type","link","id","story","likes_count.x","comments_count","shares_count","likes_count.y","love_count","haha_count","wow_count","sad_count","angry_count"
"100114543363891","Folha de S.Paulo","O I Fórum Mostra-Folha: parceria da Folha de S.Paulo com a Mostra Internacional de Cinema / São Paulo International Film Festival e o Itaú Cultural, se propõe a olhar para o cinema a partir de três de seus aspectos: o criativo, o mercadológico e o político. 

Reunindo nomes importantes da política e da economia do cinema, assim como diretores, produtores e distribuidores, o evento procura promover discussões capazes de explorar os filmes em sua relação com o mercado de bens culturais e com questões-chave da contemporaneidade.
 
No primeiro dia, em 25/10, o fórum discute novas formas narrativas e a intersecção entre cinema, TV, artes visuais, etc. – o artista chinês Ai Weiwei, que assina a arte do cartaz e participa de debate na quinta (19/10), é exemplar desse borrar de fronteiras. A realidade virtual (VR), que pode ser experimentada pelo público em sessões no Cinesesc, também é objeto de reflexão. Ainda sob o guarda-chuva da linguagem, o fórum analisa qual o papel da crítica de cinema.
 
No dia 26/10, o fórum se dedica a pensar as relações entre cinema e mercado, duas peças de um mesmo sistema que envolve a disponibilização de recursos públicos e, ainda, o equilíbrio entre oferta e demanda e entre valor monetário e valor simbólico. 
 
“Cinema e Contemporaneidade” é o tema do último dia do ciclo de debates, no dia 27/10. No período da manhã, se discute como dar voz e representar minorias étnicas e de gênero nos filmes. À tarde, o fórum reúne especialistas em regulação e vídeo sob demanda. A mesa que encerra o fórum revela números e dados relativos à economia da cultura.

Mais informações em http://folha.com/no1928026","2017-10-19T13:36:19+0000","event","https://www.facebook.com/events/135619703854322/","100114543363891_135619703854322","Folha de S.Paulo added an event.",76,1,0,76,0,0,0,0,0
"100114543363891","Folha de S.Paulo","(via Folha Mercado) #folha","2017-10-19T13:35:01+0000","link","http://www1.folha.uol.com.br/mercado/2017/10/1928052-governo-temer-regrediu-ao-tempo-dos-grilhoes-e-chicotes-diz-chefe-do-mpt.shtml?utm_source=facebook&utm_medium=socal&utm_campaign=fbfolha","100114543363891_2069056939802965",NA,380,65,149,380,6,26,5,56,24
"100114543363891","Folha de S.Paulo","URGENTE! Informação da coluna de Mônica Bergamo. #folha","2017-10-19T13:07:23+0000","link","http://www1.folha.uol.com.br/colunas/monicabergamo/2017/10/1928352-justica-suspende-bloqueio-dos-irmaos-batista-e-do-grupo-jf.shtml?utm_source=facebook&utm_medium=socal&utm_campaign=fbfolha","100114543363891_2069024746472851",NA,768,303,544,768,18,265,33,33,626
"100114543363891","Folha de S.Paulo","Duas professoras e cinco estudantes de letras fazem plantão todas as tardes, de segunda a sexta, para atender a telefonemas e responder a e-mails e mensagens que chegam por redes sociais de pessoas que têm dúvidas gramaticais. São aproximadamente cem atendimentos por mês. (via Folha Cotidiano) #folha","2017-10-19T12:55:07+0000","link","http://bit.ly/2ippWrW","100114543363891_2068989229809736",NA,300,17,63,300,55,8,2,0,0
"100114543363891","Folha de S.Paulo","São Paulo será o único local a sediar quatro shows da turnê. (via Folha Ilustrada) #folha","2017-10-19T12:45:04+0000","link","http://www1.folha.uol.com.br/ilustrada/2017/10/1928068-u2-abre-turne-do-album-the-joshua-tree-com-quatro-shows-em-sao-paulo.shtml?utm_source=facebook&utm_medium=socal&utm_campaign=fbfolha","100114543363891_2068958096479516",NA,119,14,13,119,21,1,2,1,1
"100114543363891","Folha de S.Paulo","""Temer ajudava Aécio, que ajudava Temer... qualquer semelhança com o poema 'Quadrilha', de Carlos Drummond de Andrade, não haveria de ser coincidência""
Leia a coluna de Bernardo Mello Franco. #folha #opinião","2017-10-19T12:25:00+0000","link","http://www1.folha.uol.com.br/colunas/bernardomellofranco/2017/10/1928273-teatro-ruim.shtml?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2068894579819201",NA,314,73,113,314,4,35,0,9,47
"100114543363891","Folha de S.Paulo","Informação da coluna de Mônica Bergamo. #folha","2017-10-19T12:15:04+0000","link","http://www1.folha.uol.com.br/colunas/monicabergamo/2017/10/1928188-pt-avalia-que-lula-pode-salvar-partido-de-fiasco-em-eleicoes-parlamentares.shtml?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2068864123155580",NA,147,143,10,147,15,103,2,2,33
"100114543363891","Folha de S.Paulo","""Seria oportunismo da moça para avançar ainda mais em ganhos de imagem? Não sei responder, mas o que é fato é que Anitta dá uma injeção de autoestima, de ânimo e de motivação""
Leia texto de Jairo Marques - jornalista. #folha #opinião","2017-10-19T11:55:02+0000","link","http://assimcomovoce.blogfolha.uol.com.br/2017/10/19/com-uma-rebolada-anitta-fez-mais-por-inclusao-do-que-qualquer-outra-celebridade-nacional/?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2068815469827112",NA,718,111,28,718,121,54,3,1,5
"100114543363891","Folha de S.Paulo","O número de trabalhadores resgatados foi de 885, no ano passado, para 73 neste ano até setembro (via Folha Mercado) #folha","2017-10-19T11:45:08+0000","link","http://www1.folha.uol.com.br/mercado/2017/10/1928239-operacoes-de-combate-ao-trabalho-escravo-despencam-no-governo-temer.shtml?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2068803609828298",NA,186,62,163,186,3,7,5,71,138
"100114543363891","Folha de S.Paulo","Na prática, os custos para manter os trens circulando serão muito maiores do que a receita das bilheterias (via Folha Cotidiano) #folha","2017-10-19T11:30:15+0000","link","http://www1.folha.uol.com.br/cotidiano/2017/10/1928248-monotrilho-de-alckmin-ate-congonhas-dara-prejuizo-estado-tenta-concessao.shtml?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2068788643163128",NA,126,52,37,126,0,31,7,0,45
"100114543363891","Folha de S.Paulo","Além de se antecipar a estudos sobre uma real necessidade do produto para as crianças, o anúncio pegou de surpresa a própria Secretaria de Educação, que não foi consultada sobre a decisão (via Folha Cotidiano) #folha","2017-10-19T11:15:09+0000","link","http://www1.folha.uol.com.br/cotidiano/2017/10/1928300-doria-ignora-secretario-estudos-e-regras-em-anuncio-de-farinata-a-alunos.shtml?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2068770136498312",NA,192,124,106,192,4,41,4,13,228
"100114543363891","Folha de S.Paulo","Com conteúdo de violência, sexo explícito e linguagem imprópria, a exposição foi classificada para 18 anos (via Folha Ilustrada) #folha","2017-10-19T11:00:06+0000","link","http://www1.folha.uol.com.br/ilustrada/2017/10/1928192-masp-abre-historias-da-sexualidade-com-obras-que-vao-alem-do-nu-artistico.shtml?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2068755116499814",NA,565,170,60,565,200,9,1,2,50
"100114543363891","Folha de S.Paulo","Condenada pela morte dos pais, Suzane progrediu para regime semiaberto há um ano e, em junho, protocolou pedido para sair da prisão (via Folha Cotidiano) #folha","2017-10-19T10:45:06+0000","link","http://www1.folha.uol.com.br/cotidiano/2017/10/1928219-psicologos-vao-avaliar-em-ate-60-dias-se-suzane-richthofen-pode-ser-solta.shtml?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2068740279834631",NA,134,145,46,134,3,37,10,4,197
"100114543363891","Folha de S.Paulo","""Entende-se por que o juiz Sergio Moro recorre à ficção para defender a prisão preventiva de suspeitos de corrupção. 'Podemos fazer uma comparação com uma situação que vemos muito no cinema: casos de serial killers'.""
Leia a coluna de Roberto Dias. #folha #opinião","2017-10-19T10:30:13+0000","link","http://www1.folha.uol.com.br/colunas/robertodias/2017/10/1928242-aecio-e-os-serial-killers.shtml?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2068725856502740",NA,355,102,133,355,0,7,3,23,91
"100114543363891","Folha de S.Paulo","Informação da coluna de Mônica Bergamo. #folha","2017-10-19T10:20:09+0000","link","http://www1.folha.uol.com.br/colunas/monicabergamo/2017/10/1928217-nao-tem-mais-plano-b-diz-senador-do-pt-sobre-candidatura-de-lula.shtml?utm_source=facebook&utm_medium=socal&utm_campaign=fbfolha","100114543363891_2068716273170365",NA,142,118,22,142,31,45,1,2,27
"100114543363891","Folha de S.Paulo","Surpresos? (via Folha Poder) #folha","2017-10-19T10:05:03+0000","link","http://www1.folha.uol.com.br/poder/2017/10/1928301-governo-promete-cargos-ao-centrao-antes-da-decisao-sobre-denuncia.shtml?utm_source=facebook&utm_medium=socal&utm_campaign=fbfolha","100114543363891_2068703203171672",NA,125,47,100,125,2,25,3,6,83
"100114543363891","Folha de S.Paulo","(via Folha Mundo) #folha","2017-10-19T09:55:06+0000","link","http://www1.folha.uol.com.br/mundo/2017/10/1928326-presidente-catalao-ameaca-convocar-votacao-formal-de-independencia.shtml?utm_source=facebook&utm_medium=socal&utm_campaign=fbfolha","100114543363891_2068694479839211",NA,43,6,4,43,4,1,1,1,3
"100114543363891","Folha de S.Paulo","Bom dia! Esta é a capa da edição impressa da Folha desta quinta (19). Na manchete: Comissão da Câmara rejeita a 2ª denúncia contra Temer. Veja mais notícias na nossa página http://bit.ly/2s2txQr","2017-10-19T09:45:05+0000","photo","https://www.facebook.com/folhadesp/photos/a.115442961831049.6251.100114543363891/2068676949840964/?type=3","100114543363891_2068676949840964",NA,168,86,36,168,4,8,3,7,48
"100114543363891","Folha de S.Paulo","Desejamos toda a felicidade do mundo ao casal <3 #folha","2017-10-19T09:20:04+0000","link","http://bit.ly/2gS9XPv","100114543363891_2068657653176227",NA,7577,88,49,7577,788,3,26,0,0
"100114543363891","Folha de S.Paulo","Presidente do PSDB pede a renúncia do senador da presidência do partido. (via Folha Poder) #folha","2017-10-19T09:00:32+0000","link","http://www1.folha.uol.com.br/poder/2017/10/1928202-nao-trato-de-questoes-partidarias-pela-imprensa-diz-aecio-em-resposta-a-tasso.shtml?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2068643686510957",NA,79,55,11,79,0,25,0,0,30
"100114543363891","Folha de S.Paulo","Um representante da maior empresa brasileira do setor estima que o mercado global seja de US$ 10 bilhões
Informação é da coluna Mercado Aberto #folha","2017-10-19T08:40:05+0000","link","http://www1.folha.uol.com.br/colunas/mercadoaberto/2017/10/1927985-granulado-de-programa-de-doria-tem-vendas-bilionarias.shtml?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2068627943179198",NA,149,67,28,149,12,12,4,2,85
"100114543363891","Folha de S.Paulo","""O Estado brasileiro é cartorial. A partir de nossa herança portuguesa, construímos ao longo dos séculos uma complexa estrutura para “garantir a publicidade, autenticidade, segurança e eficácia dos atos jurídicos”, tal qual estabelece a lei.""

Leia blog ""O Espírito das Leis"" #folha #opinião","2017-10-19T08:09:11+0000","link","http://oespiritodasleis.blogfolha.uol.com.br/2017/10/13/os-cartorios-e-o-preco-da-fe-publica-no-brasil/?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2068603643181628",NA,217,29,108,217,0,4,1,1,23
"100114543363891","Folha de S.Paulo","Esses bichos foram cruciais não só pelo seu uso direto, mas pelas doenças infecciosas que traziam. (via Darwin e Deus) #folha","2017-10-19T07:37:51+0000","link","http://darwinedeus.blogfolha.uol.com.br/2017/10/18/bichos-domesticos-foram-arma-secreta-de-europeus-contra-indios/?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2068583079850351",NA,106,25,14,106,1,2,2,10,6
"100114543363891","Folha de S.Paulo","(via Folha Poder) #folha","2017-10-19T07:07:16+0000","link","http://www1.folha.uol.com.br/poder/2017/10/1928111-planalto-diz-que-temer-nao-contradiz-regras-de-seguranca-ao-utilizar-e-mail-e-celular.shtml?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2068562646519061",NA,52,38,6,52,0,9,2,0,9
"100114543363891","Folha de S.Paulo","É uma geração que cresceu numa era de prosperidade e paz, uma geração que não ""comeu amargura"" —ou seja, não lutou—, como fizeram seus pais e avós (via Folha Mundo) #folha","2017-10-19T06:35:56+0000","link","http://www1.folha.uol.com.br/mundo/2017/10/1927998-quem-e-a-geracao-bolha-chinesa-que-cresceu-durante-o-boom-economico.shtml?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2068541393187853",NA,94,22,12,94,3,4,0,0,0
"100114543363891","Folha de S.Paulo","(via F5) #folha","2017-10-19T06:05:11+0000","link","https://f5.folha.uol.com.br/cinema/2017/10/angelina-jolie-dublara-personagem-em-novo-filme-da-disney.shtml?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2068522209856438",NA,110,13,1,110,10,0,1,0,0
